Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00208470504530124,-0.000236944935244652,0.0800059486867469,0,0,0,2.64057664091934,0.0262820884723891,2.69555215232122E-17,-8.74780144678154E-10,0.0305148360761198,1.69720612763207E-18,0.0524178305121725,0,0,0,0,0,0,package://URDFAssem2/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://URDFAssem2/meshes/base_link.STL,,Part1-5;Part2-1;Part1-6,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
WR_link,4.20128341838133E-18,0.0382135054134345,-1.38777878078145E-17,0,0,0,0.659446300008721,0.00103103838200959,6.75029427341629E-20,-2.2389835307371E-19,0.00190754760746418,-6.15130681378243E-20,0.00103103838200959,0,0,0,0,0,0,package://URDFAssem2/meshes/WR_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://URDFAssem2/meshes/WR_link.STL,,Part3-2,Origin_WR_link,Axis1,WR_link,continuous,0.00018599,0.15827,0.075,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
WL_link,-4.17688886950041E-17,-0.0382135054134346,8.32667268468867E-17,0,0,0,0.659446300008721,0.00103103838200959,7.36016516636654E-20,1.66977987172404E-19,0.00190754760746418,-5.66425648346361E-20,0.00103103838200959,0,0,0,0,0,0,package://URDFAssem2/meshes/WL_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://URDFAssem2/meshes/WL_link.STL,,Part3-1,Origin_WL_link,Axis2,WL_link,continuous,0.00018599,-0.15737,0.075,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
camera_link,-0.017653824464481,0.00131903724453735,0.000694910126294856,0,0,0,0.0624348084678499,0.000123910252090277,2.51197166149138E-07,1.34074290038212E-07,1.74977055396427E-05,1.65109976286423E-06,0.0001103344902272,0,0,0,0,0,0,package://URDFAssem2/meshes/camera_link.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://URDFAssem2/meshes/camera_link.STL,,Cover Telecamera-1;Blocco D455-2,Origin_camera_link,,camera_link,fixed,0.12987,0.045247,0.18325,0,0,0,base_link,0,0,0,,,,,,,,,,,,
